"filename", "language", "JSON", "JavaScript JSX", "JavaScript", "Markdown", "CSV", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\header\header.scss", "SCSS", 0, 0, 0, 0, 0, 169, 0, 2, 1, 172
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\header\media.scss", "SCSS", 0, 0, 0, 0, 0, 67, 0, 0, 0, 67
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\settings\settings.scss", "SCSS", 0, 0, 0, 0, 0, 288, 0, 5, 3, 296
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\uni.scss", "SCSS", 0, 0, 0, 0, 0, 102, 0, 0, 2, 104
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\vars.scss", "SCSS", 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\home\home.scss", "SCSS", 0, 0, 0, 0, 0, 240, 0, 13, 1, 254
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\home\media.scss", "SCSS", 0, 0, 0, 0, 0, 107, 0, 0, 1, 108
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\programs\media.scss", "SCSS", 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\programs\pages.scss", "SCSS", 0, 0, 0, 0, 0, 62, 0, 0, 2, 64
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\programs\programs.scss", "SCSS", 0, 0, 0, 0, 0, 73, 0, 7, 0, 80
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\videos\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"Total", "-", 129, 999, 262, 44, 193, 2043, 55, 85, 175, 3985
