"filename", "language", "Markdown", "SCSS", "JavaScript", "JavaScript JSX", "JSON", "CSV", "XML", "comment", "blank", "total"
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\feedback\feedback.scss", "SCSS", 0, 193, 0, 0, 0, 0, 0, 0, 0, 193
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\dark.scss", "SCSS", 0, 253, 0, 0, 0, 0, 0, 0, 34, 287
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\functions.scss", "SCSS", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\header\header.scss", "SCSS", 0, 169, 0, 0, 0, 0, 0, 0, 1, 170
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\header\media.scss", "SCSS", 0, 67, 0, 0, 0, 0, 0, 0, 0, 67
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\settings\settings.scss", "SCSS", 0, 288, 0, 0, 0, 0, 0, 0, 3, 291
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\uni.scss", "SCSS", 0, 102, 0, 0, 0, 0, 0, 0, 2, 104
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\vars.scss", "SCSS", 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\home\home.scss", "SCSS", 0, 261, 0, 0, 0, 0, 0, 0, 1, 262
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\home\media.scss", "SCSS", 0, 129, 0, 0, 0, 0, 0, 0, 1, 130
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\jobs\jobs.scss", "SCSS", 0, 73, 0, 0, 0, 0, 0, 0, 0, 73
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\jobs\media.scss", "SCSS", 0, 35, 0, 0, 0, 0, 0, 0, 0, 35
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\jobs\pages.scss", "SCSS", 0, 62, 0, 0, 0, 0, 0, 0, 2, 64
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\videos\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 52, 2259, 269, 1096, 129, 193, 28, 6, 189, 4221
